age,tenure_months,monthly_charges,num_products,support_tickets,has_premium,contract_type,payment_method,churned,risk_assessment_score
62,94,32.45,1,1,No,Month-to-month,Electronic check,0,0.8
33,84,98.7,5,1,No,Month-to-month,Mailed check,0,0.0
54,18,89.99,5,2,Yes,One year,Electronic check,0,6.9
20,68,71.87,2,2,No,Month-to-month,Electronic check,0,0.0
64,48,70.6,3,0,Yes,Month-to-month,Electronic check,0,0.0
65,100,28.19,1,1,Yes,Month-to-month,Bank transfer,0,0.0
60,70,84.63,5,2,No,One year,Mailed check,0,0.0
68,67,109.99,5,2,Yes,Two year,Electronic check,0,0.0
67,18,28.76,3,1,No,Month-to-month,Electronic check,0,3.1
38,111,45.67,5,3,No,Month-to-month,Electronic check,0,0.2
58,104,109.1,5,3,No,Month-to-month,Credit card,0,7.9
25,18,47.74,5,3,Yes,Two year,Electronic check,0,7.7
39,56,84.44,5,5,No,Month-to-month,Electronic check,0,2.2
68,23,72.61,2,2,Yes,Two year,Credit card,0,1.6
71,35,78.72,2,0,No,Month-to-month,Bank transfer,0,0.3
22,6,60.79,4,2,Yes,Two year,Bank transfer,0,0.0
34,118,49.29,1,1,No,One year,Bank transfer,0,0.0
54,26,24.32,3,0,No,One year,Credit card,0,0.5
