age,department,job_role,salary_band,years_at_company,overtime,last_promotion_years,wfh_days_per_week,performance_rating,left_company
47.0,Engineering,Specialist,Low,0.0,No,2.0,0.0,4.0,0
34.0,finance,Analyst,Medium,18.0,No,2.0,,2.0,0
39.0,engineering,Manager,Medium,11.0,No,5.0,,,0
24.0,engineering,Specialist,High,7.0,Yes,9.0,,4.0,0
44.0,engineering,Analyst,High,5.0,No,0.0,3.0,5.0,0
24.0,H.R.,Manager,Medium,11.0,Yes,5.0,,3.0,0
46.0,HR,Associate,High,6.0,Yes,2.0,3.0,3.0,0
48.0,Eng.,Director,Low,17.0,No,,4.0,5.0,0
48.0,ENGINEERING,Specialist,Low,13.0,No,,0.0,2.0,0
60.0,Marketing,Analyst,High,7.0,Yes,2.0,3.0,,1
46.0,Sales Dept,Lead,Low,19.0,No,,4.0,3.0,0
,Human Resources,Lead,,13.0,Yes,,4.0,,0
29.0,Engineering,Analyst,Medium,4.0,No,6.0,4.0,4.0,1
30.0,marketing,Analyst,Medium,8.0,No,,2.0,3.0,0
58.0,Mktg,Lead,High,7.0,No,4.0,,4.0,0
51.0,FINANCE,Manager,,1.0,No,0.0,4.0,,0
40.0,Marketing,Director,Low,15.0,No,7.0,5.0,,0
37.0,Engineering,Associate,Medium,12.0,No,9.0,3.0,3.0,0
45.0,Eng.,Associate,Medium,6.0,No,7.0,,4.0,0
42.0,marketing,Specialist,Medium,15.0,No,9.0,5.0,3.0,0
57.0,sales,Analyst,Medium,6.0,No,9.0,1.0,3.0,1
61.0,hr,Analyst,,13.0,No,9.0,2.0,3.0,0
60.0,Mktg.,Specialist,Senior,13.0,No,1.0,3.0,3.0,0
27.0,Sales Dept,Specialist,Low,11.0,No,,3.0,4.0,1
26.0,Sales Dept,Associate,Medium,0.0,Yes,2.0,1.0,3.0,1
35.0,sales,Lead,,0.0,No,,1.0,3.0,0
25.0,Eng,Associate,Senior,11.0,No,0.0,3.0,3.0,0
29.0,Eng,Analyst,Senior,19.0,No,3.0,1.0,3.0,0
45.0,Mktg.,Specialist,,14.0,No,4.0,3.0,2.0,0
32.0,engineering,Manager,High,3.0,No,2.0,5.0,3.0,0
,Eng.,Analyst,Medium,6.0,Yes,9.0,,3.0,1
42.0,Eng,Manager,Low,15.0,No,1.0,5.0,3.0,0
47.0,Eng.,Associate,Low,2.0,No,5.0,5.0,,0
48.0,Eng,Lead,Medium,6.0,No,7.0,1.0,5.0,1
37.0,Marketing,Analyst,Medium,5.0,No,6.0,3.0,4.0,0
47.0,Sales,Analyst,Low,15.0,Yes,0.0,4.0,3.0,0
54.0,Marketing,Director,Medium,7.0,No,3.0,3.0,4.0,0
52.0,Mktg,Specialist,Low,5.0,No,2.0,0.0,4.0,0
27.0,finance,Associate,Medium,9.0,Yes,,1.0,3.0,0
29.0,engineering,Director,Medium,15.0,No,8.0,2.0,4.0,0
28.0,sales,Associate,Low,10.0,No,8.0,1.0,2.0,0
55.0,Eng,Analyst,Medium,12.0,No,,0.0,4.0,0
35.0,sales,Manager,Low,5.0,Yes,8.0,5.0,3.0,1
37.0,Fin,Analyst,Medium,0.0,No,7.0,2.0,3.0,1
30.0,Mktg.,Specialist,,18.0,No,4.0,,3.0,0
31.0,marketing,Analyst,Medium,11.0,No,,3.0,5.0,0
38.0,SALES,Associate,Low,5.0,No,6.0,4.0,4.0,0
33.0,Mktg,Analyst,Medium,17.0,No,4.0,3.0,4.0,0
27.0,Engineering,Manager,High,12.0,No,,2.0,2.0,0
40.0,Mktg.,Manager,Low,6.0,No,,,,0
50.0,Marketing,Manager,Medium,12.0,No,8.0,4.0,3.0,0
27.0,Sales,Analyst,Low,7.0,Yes,9.0,,,1
46.0,engineering,Associate,Medium,16.0,Yes,0.0,4.0,3.0,0
45.0,H.R.,Manager,Low,8.0,Yes,,,5.0,0
46.0,engineering,Associate,Medium,19.0,Yes,6.0,3.0,4.0,0
37.0,Eng.,Manager,Medium,12.0,Yes,0.0,1.0,3.0,0
,Sales Dept,Director,Senior,1.0,Yes,0.0,,4.0,0
27.0,engineering,Director,,3.0,Yes,,4.0,,0
58.0,Mktg.,Lead,Medium,1.0,No,7.0,1.0,4.0,1
42.0,Marketing,Manager,Medium,3.0,Yes,8.0,4.0,4.0,0
25.0,H.R.,Analyst,Senior,17.0,No,5.0,5.0,5.0,0
55.0,sales,Specialist,High,4.0,Yes,9.0,0.0,4.0,1
49.0,Mktg,Analyst,Low,18.0,No,7.0,2.0,2.0,0
,hr,Specialist,,9.0,No,5.0,1.0,3.0,0
49.0,Sales Dept,Analyst,Medium,17.0,No,,2.0,5.0,0
38.0,sales,Associate,High,9.0,No,3.0,,3.0,0
35.0,H.R.,Analyst,High,4.0,Yes,4.0,1.0,,0
28.0,Eng.,Lead,Low,16.0,No,1.0,2.0,3.0,0
43.0,Sales,Director,High,12.0,No,2.0,,4.0,0
22.0,ENGINEERING,Manager,Low,16.0,No,2.0,,,0
50.0,Eng.,Analyst,Low,8.0,No,,2.0,3.0,0
52.0,Eng,Manager,Low,11.0,No,4.0,2.0,3.0,0
51.0,SALES,Associate,High,13.0,No,,1.0,5.0,0
36.0,marketing,Manager,Low,13.0,No,,2.0,3.0,0
39.0,ENGINEERING,Analyst,Low,7.0,No,,2.0,2.0,0
,HR,Director,High,4.0,Yes,7.0,,5.0,1
,Sales Dept,Manager,Low,18.0,No,1.0,5.0,3.0,0
55.0,Finance,Analyst,Low,13.0,Yes,3.0,3.0,3.0,0
32.0,finance,Analyst,Low,8.0,Yes,5.0,0.0,,1
48.0,H.R.,Associate,Medium,6.0,No,,3.0,1.0,0
45.0,finance,Lead,Medium,7.0,No,0.0,3.0,5.0,0
56.0,Mktg,Analyst,Low,13.0,No,8.0,,3.0,0
60.0,H.R.,Associate,Senior,13.0,Yes,2.0,2.0,3.0,0
29.0,ENGINEERING,Analyst,,10.0,Yes,1.0,,3.0,0
39.0,SALES,Manager,Medium,13.0,No,8.0,3.0,3.0,0
34.0,Human Resources,Director,Medium,7.0,No,6.0,0.0,4.0,1
45.0,Sales,Analyst,,2.0,No,,2.0,4.0,0
44.0,H.R.,Director,Medium,17.0,No,5.0,4.0,5.0,0
33.0,H.R.,Specialist,Low,2.0,No,,1.0,3.0,1
51.0,engineering,Lead,,12.0,No,0.0,1.0,4.0,0
52.0,HR,Analyst,High,11.0,No,3.0,,3.0,0
49.0,ENGINEERING,Analyst,Low,14.0,No,8.0,1.0,,0
,Sales Dept,Lead,Medium,17.0,No,0.0,3.0,4.0,0
49.0,sales,Analyst,,4.0,No,9.0,1.0,3.0,0
34.0,Eng.,Associate,Medium,6.0,No,2.0,,3.0,0
46.0,marketing,Analyst,Medium,10.0,No,4.0,4.0,3.0,0
28.0,Marketing,Manager,Medium,10.0,Yes,6.0,2.0,4.0,0
27.0,engineering,Analyst,Low,14.0,Yes,8.0,4.0,5.0,0
45.0,H.R.,Specialist,High,9.0,No,5.0,,3.0,0
40.0,Marketing,Specialist,Medium,14.0,Yes,2.0,1.0,2.0,1
40.0,sales,Manager,High,12.0,Yes,6.0,2.0,2.0,0
,engineering,Specialist,Senior,13.0,No,,5.0,4.0,0
30.0,H.R.,Manager,Senior,16.0,No,,5.0,3.0,0
57.0,H.R.,Analyst,Senior,12.0,No,6.0,1.0,3.0,0
59.0,ENGINEERING,Associate,Medium,9.0,No,,1.0,3.0,1
61.0,Engineering,Director,Medium,0.0,No,3.0,5.0,4.0,0
50.0,hr,Analyst,Medium,0.0,No,6.0,5.0,3.0,0
45.0,Marketing,Analyst,Medium,14.0,No,1.0,,4.0,0
26.0,Engineering,Lead,High,15.0,No,0.0,1.0,3.0,0
47.0,Marketing,Specialist,Low,11.0,No,1.0,5.0,3.0,0
35.0,sales,Specialist,Senior,5.0,No,3.0,0.0,2.0,0
60.0,H.R.,Analyst,High,5.0,Yes,7.0,5.0,2.0,0
50.0,ENGINEERING,Associate,Senior,11.0,Yes,2.0,,3.0,0
27.0,SALES,Analyst,High,14.0,No,9.0,2.0,3.0,0
28.0,ENGINEERING,Lead,Low,3.0,Yes,5.0,0.0,4.0,0
58.0,Finance,Analyst,Low,3.0,No,5.0,3.0,1.0,0
39.0,HR,Manager,Low,1.0,No,,1.0,2.0,0
44.0,Mktg.,Manager,Low,11.0,No,8.0,1.0,4.0,0
59.0,marketing,Specialist,Medium,6.0,No,3.0,5.0,,1
22.0,Sales,Associate,High,19.0,No,,2.0,4.0,1
25.0,finance,Manager,High,8.0,Yes,,3.0,4.0,0
56.0,engineering,Director,Medium,8.0,No,1.0,3.0,3.0,0
44.0,hr,Specialist,Low,7.0,No,,3.0,4.0,0
48.0,ENGINEERING,Analyst,Low,13.0,No,5.0,5.0,3.0,0
47.0,Sales Dept,Specialist,Low,0.0,No,1.0,1.0,3.0,1
29.0,Sales Dept,Lead,Medium,11.0,Yes,7.0,3.0,,0
37.0,HR,Analyst,Medium,1.0,Yes,3.0,5.0,3.0,0
24.0,Human Resources,Analyst,Low,12.0,Yes,4.0,5.0,3.0,0
53.0,Mktg,Manager,Medium,3.0,No,7.0,0.0,3.0,1
26.0,SALES,Analyst,,19.0,No,,4.0,3.0,1
41.0,FINANCE,Manager,Medium,17.0,No,,3.0,,0
35.0,Eng,Associate,Medium,18.0,No,3.0,4.0,2.0,0
53.0,HR,Director,Medium,15.0,No,0.0,1.0,1.0,0
47.0,Marketing,Analyst,Medium,13.0,No,6.0,5.0,2.0,0
27.0,Sales,Associate,Senior,7.0,Yes,7.0,3.0,3.0,0
57.0,ENGINEERING,Associate,Low,11.0,Yes,8.0,2.0,4.0,0
61.0,Sales,Lead,Medium,8.0,No,1.0,1.0,,1
26.0,ENGINEERING,Analyst,,5.0,No,0.0,0.0,5.0,0
34.0,engineering,Associate,Medium,17.0,No,3.0,,4.0,0
53.0,engineering,Specialist,,1.0,No,4.0,4.0,3.0,0
37.0,Sales,Director,Medium,7.0,No,,5.0,4.0,1
22.0,Marketing,Manager,Medium,13.0,Yes,0.0,4.0,3.0,0
34.0,H.R.,Analyst,,5.0,Yes,4.0,2.0,1.0,0
32.0,ENGINEERING,Specialist,Medium,9.0,No,5.0,2.0,5.0,0
29.0,SALES,Manager,Low,7.0,No,2.0,0.0,,0
46.0,Sales Dept,Lead,Low,16.0,Yes,6.0,,5.0,0
61.0,sales,Specialist,Medium,11.0,Yes,,0.0,4.0,0
53.0,Human Resources,Manager,Medium,16.0,Yes,3.0,0.0,3.0,0
45.0,Mktg,Director,Low,12.0,No,2.0,2.0,3.0,0
49.0,H.R.,Analyst,Medium,18.0,No,,4.0,,0
35.0,Sales,Analyst,Medium,11.0,Yes,2.0,,1.0,0
24.0,Marketing,Associate,Low,15.0,Yes,9.0,5.0,3.0,0
57.0,Sales,Associate,Medium,4.0,Yes,,,4.0,0
48.0,H.R.,Manager,High,15.0,No,8.0,2.0,,0
41.0,finance,Specialist,Medium,5.0,Yes,5.0,0.0,,0
36.0,Mktg,Analyst,Medium,10.0,No,5.0,3.0,3.0,0
48.0,H.R.,Manager,Medium,16.0,Yes,3.0,0.0,4.0,0
49.0,Eng,Manager,,13.0,Yes,,1.0,3.0,0
46.0,Fin,Manager,Senior,5.0,No,,,3.0,0
54.0,ENGINEERING,Lead,Medium,10.0,No,9.0,2.0,5.0,0
35.0,ENGINEERING,Associate,Low,11.0,Yes,3.0,1.0,,0
29.0,Engineering,Director,Medium,12.0,No,7.0,,3.0,0
35.0,finance,Director,High,3.0,No,9.0,,4.0,0
22.0,H.R.,Analyst,Low,6.0,No,1.0,5.0,4.0,0
37.0,FINANCE,Manager,Senior,1.0,No,,2.0,3.0,0
39.0,Human Resources,Associate,Senior,5.0,No,0.0,1.0,2.0,0
28.0,SALES,Lead,Low,5.0,No,1.0,,4.0,0
36.0,Fin,Specialist,Senior,17.0,Yes,1.0,,3.0,0
45.0,Fin,Manager,Medium,19.0,No,,3.0,5.0,0
34.0,sales,Manager,High,7.0,No,,1.0,2.0,0
30.0,ENGINEERING,Analyst,Medium,7.0,Yes,2.0,4.0,,0
36.0,Marketing,Analyst,Medium,7.0,Yes,,,,0
56.0,finance,Manager,Medium,7.0,Yes,4.0,,4.0,0
45.0,Human Resources,Director,High,0.0,No,4.0,0.0,5.0,0
54.0,Human Resources,Analyst,Low,1.0,No,3.0,1.0,4.0,0
37.0,Fin,Associate,Medium,11.0,No,8.0,4.0,5.0,0
29.0,HR,Associate,Low,14.0,Yes,7.0,5.0,2.0,0
50.0,H.R.,Manager,,3.0,No,3.0,3.0,2.0,0
44.0,Marketing,Associate,Medium,2.0,No,3.0,,,0
52.0,Eng.,Analyst,Medium,13.0,No,,1.0,,0
61.0,Mktg.,Director,Medium,7.0,No,8.0,4.0,4.0,0
35.0,Sales Dept,Specialist,Low,12.0,No,2.0,,4.0,0
51.0,HR,Director,Low,18.0,No,3.0,3.0,,0
60.0,Sales,Specialist,Low,4.0,No,6.0,3.0,3.0,0
,Eng.,Analyst,,12.0,No,9.0,0.0,5.0,0
37.0,ENGINEERING,Director,Senior,19.0,No,,3.0,3.0,0
27.0,Marketing,Director,,0.0,No,7.0,,3.0,0
54.0,Sales Dept,Associate,Senior,15.0,Yes,3.0,4.0,4.0,0
39.0,SALES,Specialist,High,1.0,No,,,3.0,0
37.0,Eng.,Associate,Medium,6.0,Yes,9.0,,4.0,0
33.0,sales,Associate,Medium,5.0,No,0.0,3.0,2.0,0
41.0,ENGINEERING,Manager,High,4.0,No,5.0,0.0,4.0,0
61.0,Sales Dept,Manager,Low,3.0,Yes,5.0,,4.0,1
50.0,Sales,Associate,Medium,1.0,Yes,5.0,0.0,,1
51.0,SALES,Director,Medium,9.0,No,1.0,5.0,3.0,0
47.0,Sales,Lead,Medium,4.0,No,7.0,2.0,3.0,1
43.0,engineering,Analyst,,17.0,No,4.0,3.0,3.0,0
54.0,hr,Manager,Low,9.0,No,4.0,0.0,3.0,0
60.0,SALES,Director,Medium,14.0,No,1.0,2.0,4.0,0
50.0,Eng.,Specialist,Medium,8.0,No,,4.0,3.0,0
43.0,Eng.,Lead,Medium,10.0,No,8.0,,,0
34.0,SALES,Manager,Medium,16.0,Yes,,3.0,,0
